[{No.,1
Volume,786}
{No.,17
Ticker,AAON
Company,AAON Inc
Sector,Industrials
Industry,Building Products & Equipment
Country,USA
Market Cap,8390.35
P/E,85.32
Price,102.78
Change,0.00%
Volume,0}
{No.,18
Ticker,AAP
Company,Advance Auto Parts Inc
Sector,Consumer Cyclical
Industry,Auto Parts
Country,USA
Market Cap,3410.07
P/E,77.88
Price,56.74
Change,0.00%
Volume,0}
{No.,19
Ticker,AAPB
Company,GraniteShares 2x Long AAPL Daily ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,29.87
Change,0.57%
Volume,6}
{No.,20
Ticker,AAPD
Company,Direxion Daily AAPL Bear 1X Shares
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,13.47
Change,0.00%
Volume,0}
{No.,21
Ticker,AAPG
Company,Ascentage Pharma Group International ADR
Sector,Healthcare
Industry,Biotechnology
Country,China
Market Cap,2319.50
P/E,
Price,25.00
Change,0.00%
Volume,0}
{No.,22
Ticker,AAPL
Company,Apple Inc
Sector,Technology
Industry,Consumer Electronics
Country,USA
Market Cap,3890061.59
P/E,33.52
Price,264.97
Change,0.41%
Volume,49475}
{No.,23
Ticker,AAPR
Company,Innovator Equity Defined Protection ETF - 2 Yr to April 2026
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,28.58
Change,0.00%
Volume,0}
{No.,24
Ticker,AAPU
Company,Direxion Daily AAPL Bull 2X Shares
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,31.33
Change,1.06%
Volume,10427}
{No.,25
Ticker,AAPW
Company,Roundhill AAPL WeeklyPay ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,37.34
Change,0.00%
Volume,0}
{No.,26
Ticker,AAPX
Company,T-Rex 2X Long Apple Daily Target ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,28.11
Change,0.00%
Volume,0}
{No.,27
Ticker,AAPY
Company,Kurv Yield Premium Strategy Apple (AAPL) ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,23.47
Change,0.00%
Volume,0}
{No.,28
Ticker,AARD
Company,Aardvark Therapeutics Inc
Sector,Healthcare
Industry,Biotechnology
Country,USA
Market Cap,271.08
P/E,
Price,12.45
Change,0.00%
Volume,0}
{No.,29
Ticker,AAT
Company,American Assets Trust Inc
Sector,Real Estate
Industry,REIT - Diversified
Country,USA
Market Cap,1150.47
P/E,20.39
Price,18.74
Change,0.00%
Volume,0}
{No.,30
Ticker,AAUC
Company,Allied Gold Corp
Sector,Basic Materials
Industry,Gold
Country,Canada
Market Cap,3886.49
P/E,
Price,31.33
Change,0.00%
Volume,0}
{No.,31
Ticker,AAUM
Company,Tema Alternative Asset Managers ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,22.26
Change,0.00%
Volume,0}
{No.,32
Ticker,AAUS
Company,Alpha Architect US Equity ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,54.69
Change,0.00%
Volume,0}
{No.,33
Ticker,AAVM
Company,Alpha Architect Global Factor Equity ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,33.20
Change,0.00%
Volume,0}
{No.,34
Ticker,AAXJ
Company,iShares MSCI All Country Asia ex Japan ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,103.42
Change,0.00%
Volume,0}
{No.,35
Ticker,AB
Company,AllianceBernstein Holding Lp
Sector,Financial
Industry,Asset Management
Country,USA
Market Cap,3823.34
P/E,13.80
Price,41.43
Change,0.00%
Volume,0}
{No.,36
Ticker,ABAT
Company,American Battery Technology Company
Sector,Industrials
Industry,Waste Management
Country,USA
Market Cap,482.06
P/E,
Price,3.66
Change,0.00%
Volume,0}
{No.,37
Ticker,ABBV
Company,Abbvie Inc
Sector,Healthcare
Industry,Drug Manufacturers - General
Country,USA
Market Cap,411447.15
P/E,98.35
Price,232.80
Change,-0.03%
Volume,55}
{No.,38
Ticker,ABCB
Company,Ameris Bancorp
Sector,Financial
Industry,Banks - Regional
Country,USA
Market Cap,5728.22
P/E,13.96
Price,83.85
Change,0.00%
Volume,0}
{No.,39
Ticker,ABCL
Company,AbCellera Biologics Inc
Sector,Healthcare
Industry,Biotechnology
Country,Canada
Market Cap,960.86
P/E,
Price,3.21
Change,1.26%
Volume,2422}
{No.,40
Ticker,ABCS
Company,Alpha Blue Capital US Small-Mid Cap Dynamic ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,31.37
Change,0.00%
Volume,0}
{No.,41
Ticker,ABEO
Company,Abeona Therapeutics Inc
Sector,Healthcare
Industry,Biotechnology
Country,USA
Market Cap,273.12
P/E,4.33
Price,5.04
Change,0.00%
Volume,0}
{No.,42
Ticker,ABEQ
Company,Absolute Select Value ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,39.01
Change,0.00%
Volume,0}
{No.,43
Ticker,ABEV
Company,Ambev S.A. ADR
Sector,Consumer Defensive
Industry,Beverages - Brewers
Country,Brazil
Market Cap,48098.82
P/E,17.32
Price,3.08
Change,0.00%
Volume,16425}
{No.,44
Ticker,ABFL
Company,Abacus FCF Leaders ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,73.04
Change,0.00%
Volume,0}
{No.,45
Ticker,ABG
Company,Asbury Automotive Group Inc
Sector,Consumer Cyclical
Industry,Auto & Truck Dealerships
Country,USA
Market Cap,4420.78
P/E,9.07
Price,227.40
Change,0.00%
Volume,0}
{No.,46
Ticker,ABI
Company,VictoryShares Pioneer Asset-Based Income ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,25.02
Change,0.00%
Volume,0}
{No.,47
Ticker,ABIG
Company,Argent Large Cap ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,30.76
Change,0.00%
Volume,0}
{No.,48
Ticker,ABLD
Company,Abacus FCF Real Assets Leaders ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,32.89
Change,0.00%
Volume,0}
{No.,49
Ticker,ABLG
Company,Abacus FCF International Leaders ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,32.53
Change,0.00%
Volume,0}
{No.,50
Ticker,ABLS
Company,Abacus FCF Small Cap Leaders ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,19.30
Change,0.00%
Volume,0}
{No.,51
Ticker,ABLV
Company,Able View Global Inc
Sector,Consumer Cyclical
Industry,Specialty Retail
Country,China
Market Cap,39.02
P/E,
Price,0.79
Change,0.00%
Volume,0}
{No.,52
Ticker,ABM
Company,ABM Industries Inc
Sector,Industrials
Industry,Specialty Business Services
Country,USA
Market Cap,2665.27
P/E,17.12
Price,44.29
Change,0.00%
Volume,0}
{No.,53
Ticker,ABNB
Company,Airbnb Inc
Sector,Consumer Cyclical
Industry,Travel Services
Country,USA
Market Cap,75517.06
P/E,30.69
Price,124.06
Change,-0.14%
Volume,4642}
{No.,54
Ticker,ABNG
Company,Leverage Shares 2x Long ABNB Daily ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,14.74
Change,0.00%
Volume,0}
{No.,55
Ticker,ABNY
Company,YieldMax ABNB Option Income Strategy ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,42.46
Change,0.00%
Volume,0}
{No.,56
Ticker,ABOS
Company,Acumen Pharmaceuticals Inc
Sector,Healthcare
Industry,Biotechnology
Country,USA
Market Cap,148.40
P/E,
Price,2.45
Change,0.00%
Volume,0}
{No.,57
Ticker,ABOT
Company,Abacus FCF Innovation Leaders ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,34.22
Change,0.00%
Volume,0}
{No.,58
Ticker,ABP
Company,Abpro Holdings Inc
Sector,Healthcare
Industry,Biotechnology
Country,USA
Market Cap,1.62
P/E,
Price,0.60
Change,0.00%
Volume,0}
{No.,59
Ticker,ABR
Company,Arbor Realty Trust Inc
Sector,Real Estate
Industry,REIT - Mortgage
Country,USA
Market Cap,1442.39
P/E,9.42
Price,7.37
Change,0.55%
Volume,494}
{No.,60
Ticker,ABSI
Company,Absci Corp
Sector,Healthcare
Industry,Biotechnology
Country,USA
Market Cap,399.99
P/E,
Price,2.66
Change,0.00%
Volume,0}
{No.,61
Ticker,ABT
Company,Abbott Laboratories
Sector,Healthcare
Industry,Medical Devices
Country,USA
Market Cap,195466.60
P/E,30.35
Price,112.41
Change,0.13%
Volume,294}
{No.,62
Ticker,ABTC
Company,American Bitcoin Corp
Sector,Financial
Industry,Capital Markets
Country,USA
Market Cap,1011.09
P/E,
Price,1.09
Change,0.00%
Volume,0}
{No.,63
Ticker,ABTS
Company,Abits Group Inc
Sector,Financial
Industry,Capital Markets
Country,Hong Kong
Market Cap,5.92
P/E,
Price,2.50
Change,0.00%
Volume,0}
{No.,64
Ticker,ABUS
Company,Arbutus Biopharma Corp
Sector,Healthcare
Industry,Biotechnology
Country,USA
Market Cap,801.99
P/E,
Price,4.17
Change,0.00%
Volume,0}
{No.,65
Ticker,ABVC
Company,ABVC BioPharma Inc
Sector,Healthcare
Industry,Biotechnology
Country,USA
Market Cap,41.44
P/E,
Price,1.63
Change,0.00%
Volume,0}
{No.,66
Ticker,ABVE
Company,Above Food Ingredients Inc
Sector,Consumer Defensive
Industry,Packaged Foods
Country,Canada
Market Cap,83.44
P/E,
Price,1.63
Change,0.00%
Volume,4712}
{No.,67
Ticker,ABVX
Company,Abivax ADR
Sector,Healthcare
Industry,Biotechnology
Country,France
Market Cap,10200.03
P/E,
Price,129.00
Change,2.68%
Volume,10804}
{No.,68
Ticker,ABX
Company,Abacus Global Management Inc
Sector,Financial
Industry,Insurance - Life
Country,USA
Market Cap,829.92
P/E,108.71
Price,8.49
Change,0.00%
Volume,0}
{No.,69
Ticker,ABXB
Company,Abacus Flexible Bond Leaders ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,19.93
Change,0.00%
Volume,0}
{No.,70
Ticker,ACA
Company,Arcosa Inc
Sector,Industrials
Industry,Engineering & Construction
Country,USA
Market Cap,6137.49
P/E,41.43
Price,125.14
Change,0.00%
Volume,0}
{No.,71
Ticker,ACAD
Company,Acadia Pharmaceuticals Inc
Sector,Healthcare
Industry,Biotechnology
Country,USA
Market Cap,3882.72
P/E,14.77
Price,22.95
Change,0.00%
Volume,0}
{No.,72
Ticker,ACB
Company,Aurora Cannabis Inc
Sector,Healthcare
Industry,Drug Manufacturers - Specialty & Generic
Country,Canada
Market Cap,204.16
P/E,
Price,3.60
Change,0.00%
Volume,0}
{No.,73
Ticker,ACCL
Company,Acco Group Holdings Ltd
Sector,Industrials
Industry,Consulting Services
Country,Hong Kong
Market Cap,19.25
P/E,146.81
Price,1.38
Change,-1.43%
Volume,265}
{No.,74
Ticker,ACCO
Company,Acco Brands Corporation
Sector,Industrials
Industry,Business Equipment & Supplies
Country,USA
Market Cap,371.36
P/E,9.59
Price,4.12
Change,0.00%
Volume,0}
{No.,75
Ticker,ACCS
Company,ACCESS Newswire Inc
Sector,Communication Services
Industry,Advertising Agencies
Country,USA
Market Cap,26.62
P/E,
Price,6.88
Change,0.00%
Volume,0}
{No.,76
Ticker,ACDC
Company,ProFrac Holding Corp
Sector,Energy
Industry,Oil & Gas Equipment & Services
Country,USA
Market Cap,980.32
P/E,
Price,5.42
Change,0.00%
Volume,0}
{No.,77
Ticker,ACEI
Company,Innovator Equity Autocallable Income Strategy ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,24.20
Change,0.00%
Volume,0}
{No.,78
Ticker,ACEL
Company,Accel Entertainment Inc
Sector,Consumer Cyclical
Industry,Gambling
Country,USA
Market Cap,909.46
P/E,21.63
Price,10.93
Change,0.00%
Volume,0}
{No.,79
Ticker,ACEP
Company,ARS Core Equity Portfolio ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,18.05
Change,0.00%
Volume,0}
{No.,80
Ticker,ACES
Company,ALPS Clean Energy ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,35.69
Change,0.00%
Volume,0}
{No.,81
Ticker,ACET
Company,Adicet Bio Inc
Sector,Healthcare
Industry,Biotechnology
Country,USA
Market Cap,67.43
P/E,
Price,7.04
Change,0.00%
Volume,0}
{No.,82
Ticker,ACFN
Company,Acorn Energy Inc
Sector,Technology
Industry,Scientific & Technical Instruments
Country,USA
Market Cap,43.83
P/E,6.60
Price,17.50
Change,0.00%
Volume,0}
{No.,83
Ticker,ACGL
Company,Arch Capital Group Ltd
Sector,Financial
Industry,Insurance - Diversified
Country,Bermuda
Market Cap,35856.45
P/E,8.51
Price,98.88
Change,0.00%
Volume,0}
{No.,84
Ticker,ACGR
Company,American Century Large Cap Growth ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,62.55
Change,0.00%
Volume,0}
{No.,85
Ticker,ACH
Company,Accendra Health Inc
Sector,Healthcare
Industry,Medical Distribution
Country,USA
Market Cap,180.99
P/E,
Price,2.34
Change,0.00%
Volume,0}
{No.,86
Ticker,ACHC
Company,Acadia Healthcare Company Inc
Sector,Healthcare
Industry,Medical Care Facilities
Country,USA
Market Cap,1514.42
P/E,13.93
Price,16.42
Change,0.00%
Volume,0}
{No.,87
Ticker,ACHR
Company,Archer Aviation Inc
Sector,Industrials
Industry,Aerospace & Defense
Country,USA
Market Cap,5032.90
P/E,
Price,6.87
Change,0.73%
Volume,21804}
{No.,88
Ticker,ACHV
Company,Achieve Life Sciences Inc
Sector,Healthcare
Industry,Biotechnology
Country,Canada
Market Cap,225.71
P/E,
Price,4.24
Change,0.00%
Volume,0}
{No.,89
Ticker,ACI
Company,Albertsons Companies Inc
Sector,Consumer Defensive
Industry,Grocery Stores
Country,USA
Market Cap,9491.98
P/E,11.89
Price,18.47
Change,0.00%
Volume,0}
{No.,90
Ticker,ACIC
Company,American Coastal Insurance Corp
Sector,Financial
Industry,Insurance - Property & Casualty
Country,USA
Market Cap,550.56
P/E,6.52
Price,11.29
Change,0.00%
Volume,0}
{No.,91
Ticker,ACII
Company,Innovator Index Autocallable Income Strategy ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,25.52
Change,0.00%
Volume,0}
{No.,92
Ticker,ACIO
Company,Aptus Collared Investment Opportunity ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,43.40
Change,0.00%
Volume,0}
{No.,93
Ticker,ACIU
Company,AC Immune SA
Sector,Healthcare
Industry,Biotechnology
Country,Switzerland
Market Cap,287.92
P/E,
Price,2.91
Change,0.00%
Volume,0}
{No.,94
Ticker,ACIW
Company,ACI Worldwide Inc
Sector,Technology
Industry,Software - Infrastructure
Country,USA
Market Cap,4175.06
P/E,16.38
Price,40.50
Change,-0.20%
Volume,6}
{No.,95
Ticker,ACKY
Company,VistaShares Target 15 ACKtivist Distribution ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,18.92
Change,0.00%
Volume,0}
{No.,96
Ticker,ACLC
Company,American Century Large Cap Equity ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,78.19
Change,0.00%
Volume,0}
{No.,97
Ticker,ACLO
Company,TCW AAA CLO ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,50.47
Change,0.00%
Volume,0}
{No.,98
Ticker,ACLS
Company,Axcelis Technologies Inc
Sector,Technology
Industry,Semiconductor Equipment & Materials
Country,USA
Market Cap,2639.82
P/E,22.66
Price,85.99
Change,-12.70%
Volume,1173}
{No.,99
Ticker,ACLX
Company,Arcellx Inc
Sector,Healthcare
Industry,Biotechnology
Country,USA
Market Cap,4059.17
P/E,
Price,70.20
Change,0.00%
Volume,0}
{No.,100
Ticker,ACM
Company,AECOM
Sector,Industrials
Industry,Engineering & Construction
Country,USA
Market Cap,11891.97
P/E,21.11
Price,91.98
Change,0.82%
Volume,162}
{No.,101
Ticker,ACMR
Company,ACM Research Inc
Sector,Technology
Industry,Semiconductor Equipment & Materials
Country,USA
Market Cap,4290.28
P/E,38.66
Price,66.13
Change,1.46%
Volume,34}
{No.,102
Ticker,ACN
Company,Accenture plc
Sector,Technology
Industry,Information Technology Services
Country,Ireland
Market Cap,135835.11
P/E,18.25
Price,220.76
Change,0.40%
Volume,244}
{No.,103
Ticker,ACNB
Company,ACNB Corp
Sector,Financial
Industry,Banks - Regional
Country,USA
Market Cap,552.26
P/E,15.00
Price,53.18
Change,0.00%
Volume,0}
{No.,104
Ticker,ACNT
Company,Ascent Industries Co
Sector,Basic Materials
Industry,Chemicals
Country,USA
Market Cap,165.29
P/E,190.19
Price,17.65
Change,0.00%
Volume,0}
{No.,105
Ticker,ACOG
Company,Alpha Cognition Inc
Sector,Healthcare
Industry,Biotechnology
Country,USA
Market Cap,113.28
P/E,
Price,5.21
Change,0.00%
Volume,0}
{No.,106
Ticker,ACON
Company,Aclarion Inc
Sector,Healthcare
Industry,Health Information Services
Country,USA
Market Cap,2.68
P/E,
Price,2.54
Change,-1.93%
Volume,108}
{No.,107
Ticker,ACP
Company,abrdn Income Credit Strategies Fund
Sector,Financial
Industry,Closed-End Fund - Debt
Country,USA
Market Cap,722.71
P/E,17.45
Price,5.76
Change,0.00%
Volume,0}
{No.,108
Ticker,ACR
Company,ACRES Commercial Realty Corp
Sector,Real Estate
Industry,REIT - Mortgage
Country,USA
Market Cap,135.88
P/E,19.44
Price,18.65
Change,0.00%
Volume,0}
{No.,109
Ticker,ACRE
Company,Ares Commercial Real Estate Corp
Sector,Real Estate
Industry,REIT - Mortgage
Country,USA
Market Cap,292.35
P/E,
Price,5.28
Change,1.34%
Volume,39}
{No.,110
Ticker,ACRS
Company,Aclaris Therapeutics Inc
Sector,Healthcare
Industry,Biotechnology
Country,USA
Market Cap,353.21
P/E,
Price,3.26
Change,0.00%
Volume,0}
{No.,111
Ticker,ACRV
Company,Acrivon Therapeutics Inc
Sector,Healthcare
Industry,Biotechnology
Country,USA
Market Cap,50.49
P/E,
Price,1.60
Change,0.00%
Volume,0}
{No.,112
Ticker,ACSG
Company,American Century Small Cap Growth Insights ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,42.28
Change,0.00%
Volume,0}
{No.,113
Ticker,ACSI
Company,American Customer Satisfaction ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,66.49
Change,0.00%
Volume,0}
{No.,114
Ticker,ACSV
Company,American Century Small Cap Value Insights ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,44.28
Change,0.00%
Volume,0}
{No.,115
Ticker,ACT
Company,Enact Holdings Inc
Sector,Financial
Industry,Insurance - Specialty
Country,USA
Market Cap,6222.01
P/E,9.54
Price,43.09
Change,0.00%
Volume,0}
{No.,116
Ticker,ACTG
Company,Acacia Research Corp
Sector,Industrials
Industry,Business Equipment & Supplies
Country,USA
Market Cap,385.84
P/E,80.48
Price,4.00
Change,0.00%
Volume,0}
{No.,117
Ticker,ACTU
Company,Actuate Therapeutics Inc
Sector,Healthcare
Industry,Biotechnology
Country,USA
Market Cap,99.02
P/E,
Price,4.26
Change,0.00%
Volume,0}
{No.,118
Ticker,ACU
Company,Acme United Corp
Sector,Consumer Defensive
Industry,Household & Personal Products
Country,USA
Market Cap,168.71
P/E,18.22
Price,44.32
Change,0.00%
Volume,0}
{No.,119
Ticker,ACV
Company,Virtus Diversified Income & Convertible Fund
Sector,Financial
Industry,Closed-End Fund - Equity
Country,USA
Market Cap,278.61
P/E,6.44
Price,26.85
Change,0.00%
Volume,0}
{No.,120
Ticker,ACVA
Company,ACV Auctions Inc
Sector,Consumer Cyclical
Industry,Auto & Truck Dealerships
Country,USA
Market Cap,1107.06
P/E,
Price,6.43
Change,0.00%
Volume,0}
{No.,121
Ticker,ACVF
Company,American Conservative Values ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,49.80
Change,0.00%
Volume,0}
{No.,122
Ticker,ACVT
Company,Advent Convertible Bond ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,26.71
Change,0.00%
Volume,0}
{No.,123
Ticker,ACWI
Company,iShares MSCI ACWI ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,146.31
Change,0.21%
Volume,13}
{No.,124
Ticker,ACWV
Company,iShares MSCI Global Min Vol Factor ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,123.41
Change,0.00%
Volume,0}
{No.,125
Ticker,ACWX
Company,iShares MSCI ACWI ex US ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,73.10
Change,0.00%
Volume,0}
{No.,126
Ticker,ACXP
Company,Acurx Pharmaceuticals Inc
Sector,Healthcare
Industry,Biotechnology
Country,USA
Market Cap,4.58
P/E,
Price,1.80
Change,-9.09%
Volume,576}
{No.,127
Ticker,AD
Company,Array Digital Infrastructure Inc
Sector,Communication Services
Industry,Telecom Services
Country,USA
Market Cap,4427.44
P/E,17.51
Price,51.24
Change,0.00%
Volume,0}
{No.,128
Ticker,ADAC
Company,American Drive Acquisition Co
Sector,Financial
Industry,Shell Companies
Country,USA
Market Cap,283.91
P/E,
Price,9.88
Change,0.00%
Volume,0}
{No.,129
Ticker,ADAG
Company,Adagene Inc ADR
Sector,Healthcare
Industry,Biotechnology
Country,China
Market Cap,155.06
P/E,
Price,3.29
Change,0.00%
Volume,0}
{No.,130
Ticker,ADAM
Company,Adamas Trust Inc
Sector,Real Estate
Industry,REIT - Mortgage
Country,USA
Market Cap,732.40
P/E,42.91
Price,8.11
Change,0.00%
Volume,0}
{No.,131
Ticker,ADBE
Company,Adobe Inc
Sector,Technology
Industry,Software - Application
Country,USA
Market Cap,107292.38
P/E,15.65
Price,261.37
Change,0.35%
Volume,4181}
{No.,132
Ticker,ADBG
Company,Leverage Shares 2X Long ADBE Daily ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,5.50
Change,0.18%
Volume,1479}
{No.,133
Ticker,ADC
Company,Agree Realty Corp
Sector,Real Estate
Industry,REIT - Retail
Country,USA
Market Cap,9502.64
P/E,44.82
Price,79.17
Change,0.00%
Volume,0}
{No.,134
Ticker,ADCT
Company,Adc Therapeutics SA
Sector,Healthcare
Industry,Biotechnology
Country,Switzerland
Market Cap,517.81
P/E,
Price,4.18
Change,0.00%
Volume,0}
{No.,135
Ticker,ADEA
Company,Adeia Inc
Sector,Technology
Industry,Software - Application
Country,USA
Market Cap,2086.17
P/E,29.35
Price,19.05
Change,1.71%
Volume,833}
{No.,136
Ticker,ADFI
Company,Anfield Dynamic Fixed Income ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,8.63
Change,0.00%
Volume,0}
{No.,137
Ticker,ADGM
Company,Adagio Medical Holdings Inc
Sector,Healthcare
Industry,Medical Devices
Country,USA
Market Cap,20.76
P/E,
Price,0.98
Change,0.00%
Volume,0}
{No.,138
Ticker,ADI
Company,Analog Devices Inc
Sector,Technology
Industry,Semiconductors
Country,USA
Market Cap,166153.27
P/E,74.42
Price,340.04
Change,0.75%
Volume,7517}
{No.,139
Ticker,ADIL
Company,Adial Pharmaceuticals Inc
Sector,Healthcare
Industry,Biotechnology
Country,USA
Market Cap,3.00
P/E,
Price,2.70
Change,0.00%
Volume,0}
{No.,140
Ticker,ADIV
Company,Guinness Atkinson Asia Pacific Dividend Builder ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,18.99
Change,0.00%
Volume,0}
{No.,141
Ticker,ADM
Company,Archer Daniels Midland Co
Sector,Consumer Defensive
Industry,Farm Products
Country,USA
Market Cap,32789.28
P/E,30.62
Price,68.23
Change,-0.50%
Volume,81}
{No.,142
